 CropScape Category,Lakeview Irrigation Company ,Deaver Irrigation District,Heart Mountain Irrigation District,Shoshone Irrigation District,Willwood Irrigation District,Midvale Irrigation District,Bridger Valley Water Conservancy District,Walker River Irrigation District,North Fork Water Conservancy,Costilla Livestock Co-Op,Price Valley Water Users Association,Little Wood River Irrigation District,Greenfields Irrigation District,Wallowa Lake Irrigation District,Stanfield Irrigation District,Westland Irrigation District,North Kern Water Supply District,Olcese Water District,Cawelo Water District,Henry Miller Water District,Rosedale Rio Bravo Water Supply District,Kern Delta Water District,Kaweah Water Conservation District,Buena Vista Water Supply District,Kittias Division,Sunnyside Division,Wapato Division,Kennewick Division,Tietan Division,Rosa Division
Corn,Spring Grain - Irrigated        ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Spring Grain - Irrigated        ,Field Corn (moderate lengthed se,Sileage Corn,Field Corn (moderate lengthed se,Sileage Corn,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,Grass Pasture (Low Management)  ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Grass Pasture (High Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Cotton,,,,,,,,Potatoes - baking (late harvest) ,,Cotton,,,,,,,Cotton ,Cotton ,Cotton ,Cotton ,Cotton ,Cotton ,Cotton ,Cotton ,,,,,,
Rice,,,,,,,,,,,,,,,,,Cotton ,Cotton ,Cotton ,Cotton ,Cotton ,Alfalfa Hay  ,Rice,Cotton ,,,,,,
Sorghum,,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,,Field Corn (moderate lengthed se,Sileage Corn,Sorghum After Another Crop,Sileage Corn,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Grass Pasture (High Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Soybeans,,Field Corn (moderate lengthed se,Snap and Dry Beans - seed   ,Snap and Dry Beans - seed   ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,,,Sileage Corn,,,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,,,,,,,,,Grass Pasture (High Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Sunflower,Spring Grain - Irrigated        ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,,,Sileage Corn,Sunflower,Sileage Corn,,Spring Grain - Irrigated   ,,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,,,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,,Grass Pasture (High Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Peanuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,Field Corn (moderate lengthed se,,
Tobacco,,,,,,,,,,,,,,,,,,,,,,,,,,Hops,Hops,Hops,Hops,Hops
Sweet Corn,Spring Grain - Irrigated        ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,,,Sileage Corn,,Sileage Corn,,Spring Grain - Irrigated   ,Grass Pasture (Low Management),Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Grass Pasture (High Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Pop or Orn Corn,,,,,,,,,,,,Spring Grain - Irrigated   ,,Grass Pasture (Low Management)  ,,,,,,,,,,,,,,,,
