NAME,State,Site.ID,System,Site.Res
Stanfield Irrigation District (OR),Oregon,Stanfield.Irrigation.District,Umatilla,Stanfield Irrigation District
Walker River Irrigation District (NV),Nevada,Walker.River.Irrigation.District,Walker,Walker River Irrigation District
Midvale Irrigation District (WY),Wyoming,Midvale.Irrigation.District,Wind,Midvale Irrigation District
Kittias Division (WA),Washington,Kittias.Division,Yakima,Kittias Division
Tietan Divison (WA),Washington,Tietan.Division,Yakima,Tietan Divison
Wapato Division (WA),Washington,Wapato.Division,Yakima,Wapato Division
Sunnyside Division (WA),Washington,Sunnyside.Division,Yakima,Sunnyside Division
Kennewick Division (WA),Washington,Kennewick.Division,Yakima,Kennewick Division
Lakeview Irrigation Company (WY),Wyoming,Lakeview.Irrigation.Company,Shoshone,Lakeview Irrigation Company
Heart Mountain Irrigation District (WY),Wyoming,Heart.Mountain.Irrigation.District,Shoshone,Heart Mountain Irrigation District
Shoshone Irrigation District (WY),Wyoming,Shoshone.Irrigation.District,Shoshone,Shoshone Irrigation District
Deaver Irrigation District (WY),Wyoming,Deaver.Irrigation.District,Shoshone,Deaver Irrigation District
Westland Irrigation District (OR),Oregon,Westland.Irrigation.District,Umatilla,Westland Irrigation District
Bridger Valley Water Conservancy District (WY),Wyoming,Bridger.Valley.Water.Conservancy.District,Bridger,Bridger Valley Water Conservancy District
North Fork Water Conservancy (CO),Colorado,North.Fork.Water.Conservancy,Paonia,North Fork Water Conservancy
Price Valley Water Users Association (UT),Utah,Price.Valley.Water.Users.Association,Price,Price Valley Water Users Association
North Kern Water Supply District (CA),California,North.Kern.Water.Supply.District,Kern,North Kern Water Supply District
Olcese Water District (CA),California,Olcese.Water.District,Kern,Olcese Water District
Kern Delta Water District (CA),California,Kern.Delta.Water.District,Kern,Kern Delta Water District
Rosedale Rio Bravo Water Supply District (CA),California,Rosedale.Rio.Bravo.Water.Supply.District,Kern,Rosedale Rio Bravo Water Supply District
Buena Vista Water Supply District (CA),California,Buena.Vista.Water.Supply.District,Kern,Buena Vista Water Supply District
Cawelo Water District (CA),California,Cawelo.Water.District,Kern,Cawelo Water District
Henry Miller Water District (CA),California,Henry.Miller.Water.District,Kern,Henry Miller Water District
Rosa Division (WA),Washington,Rosa.Division,Yakima,Rosa Division
Kaweah Water Conservation District,California,Kaweah.Water.Conservation.District,Kaweah,Kaweah Water Conservation District
Greenfields Irrigation District (MT),Montana,Greenfields.Irrigation.District,Sun,Greenfields Irrigation District
Little Wood River Irrigation District (ID),Idaho,Little.Wood.River.Irrigation.District,Little Wood,Little Wood River Irrigation District
Costilla Livestock Co-Op (NM),New Mexico,Costilla.Livestock.Co-Op,Costilla,Costilla Livestcok Co-Op
Willwood Irrigation District,Wyoming,Willwood.Irrigation.District,Shoshone,Willwood Irrigation District
