,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Arizona,85.4,87.6,87.95,87.8,84.2,87.3,88.6,89.6,90.7,87,86.8,87.3,83,,
California,82.4,82.6,74.65,79.33,83.7,80.4,84.6,82.3,89.5,92.5,84,81.1,80.8,,
Colorado,81.3,86,83.1,81.1,80.9,76.8,85.5,84.4,88.1,83.6,82.4,85.3,80.2,,
Idaho,85.9,87.3,82.17,83.2,82.3,86.8,87.2,89.2,90.4,83.9,85.4,85.2,84,,
Montana,76.8,79.6,69.58,71.6,73.8,76.3,90.6,81.9,80.3,70.1,74.5,73.9,75.5,,
Nevada,82.2,84.6,86.99,74.7,84.4,81.4,87.7,88.2,84,82.5,85.8,90.4,84.8,,
New Mexico,73.7,79.8,72.37,74.7,70.8,63.2,79.7,78.6,84,72.5,73.3,71,66.3,,
Oregon,86.5,88.3,81.86,80.2,88.1,89,82.6,78.7,85.4,87,87.9,85.8,85.9,,
Utah,78.2,81.6,93.5,80.2,77.7,79.7,82.6,84.6,85.4,88.9,78.9,79.3,77.6,,
Washington,88.9,91.6,89.13,91.8,91.5,90.9,90.2,90.9,91.1,84,82.7,89.1,90.3,,
Wyoming,66.7,70.8,91.63,78.4,77.8,69.8,76.5,78.7,80.2,75.1,78.8,78.2,77.7,,
Nebraska,,,,,,,,,,,,,,,
Texas,,,,,,,,,,,,,,,
Kansas,,,,,,,,,,,,,,,
