FID,Id,System,ORIG_FID,POINT_X,POINT_Y
0,0,Sun,0,-112.5486025,47.61920395
1,0,Yakima,1,-120.6020021,46.84246116
2,0, Shoshone,2,-109.422639,44.44991298
3,0,Wind,3,-109.3345721,43.44234283
4,0,Little Wood River,4,-113.9904855,43.51238642
5,0,Bridger,5,-110.4607241,41.06565708
6,0,Price,6,-110.7303777,39.55389149
7,0,Costilla,7,-105.4563302,36.93423595
8,0,Walker,8,-119.2904217,38.56955853
9,0,Kern,9,-118.1279865,35.49671757
10,0,Kaweah,10,-119.1008125,36.53616723
11,0,Paonia,11,-107.5556161,39.01333172
12,0,Umatilla,12,-118.615576,45.61776708
