"","x"
"1","Alfalfa Hay"
"2","Grass Pasture (Low Management)"
"3","Spring Grain"
"4","Cotton"
"5","Field Corn"
"6","Grass Hay"
"7","Nuts"
"8","Peppers"
"9","Potatoes"
"10","Sorghum"
"11","Winter Grain"
"12","Garden Vegetables"
"13","Grapes"
"14","Lettuce"
"15","Melons"
"16","Olives"
"17","Onions"
"18","Oranges"
"19","Orchards"
"20","Peas"
"21","Rice"
"22","Safflower"
"23","Tomatoes"
"24","Garlic"
"25","Snap and Dry Beans"
"26","Sugar Beets"
"27","Carrots"
"28","Grass Pasture (High Management)"
"29","Mint"
"30","Turf Grass"
"31","Hops"
