Reservoir,System,Point,Site.Res
Bridgeport,Walker,Bridgeport,Walker River Irrigation District
Topaz Lake,Walker,Topaz,Walker River Irrigation District
Pilot Butte,Wind,PilotButte,Midvale Irrigation District
Bull Lake,Wind,BullLake,Midvale Irrigation District
Keechelus,Yakima,Keechelus,Kittias Division
Kachess,Yakima,Kachess,Kittias Division
Buffalo Bill,Shoshone,BuffaloBill,Lakeview Irrigation Company
McKay,Umatilla,McKay,Westland Irrigation District
Meeks Cabin,Bridger,Meeks Cabin,Bridger Valley Water Conservancy District
Bor Stateline Summit,Bridger,Stateline,Bridger Valley Water Conservancy District
Paonia,Paonia,Paonia,North Fork Water Conservancy
Scofield,Price,Scofield,Price Valley Water Users Association
Isabella Dam,Kern,Kern,North Kern Water Supply District
Gibson,Sun,Gibson,Greenfields Irrigation District
Willow Creek,Sun,Willow,Greenfields Irrigation District
Little Wood River,Little Wood,Little Wood River,Little Wood River Irrigation District
Costilla Dam,Costilla,Costilla,Costilla Livestcok Co-Op
Lake Kaweah,Kaweah,Kaweah,Kaweah Water Conservation District
