Reservoir,YEAR,ALT_YEAR,REM_YEAR,DAM_HGT_M,ALT_HGT_M,DAM_LEN_M,ALT_LEN_M,AREA_SKM,AREA_POLY,AREA_REP,AREA_MAX,AREA_MIN,CAP_MCM,CAP_MAX,CAP_REP,CAP_MIN,DEPTH_M,DIS_AVG_LS,DOR_PC,ELEV_MASL,CATCH_SKM,CATCH_REP,DATA_INFO,USE_IRRI,USE_ELEC,USE_SUPP,USE_FCON,USE_RECR,USE_NAVI,USE_FISH,USE_PCON,USE_LIVE,USE_OTHR,MAIN_USE,LAKE_CTRL,MULTI_DAMS,TIMELINE,COMMENTS,URL,QUALITY,EDITOR,LONG_DD,LAT_DD,POLY_SRC
Bor Stateline Summit,1979,-99,-99,39,-99,792,-99,0.69,0.69,-99,-99,-99,17.3,17.3,-99,-99,25.1000004,95,577.5,2791,130,108, ,Main, , , , , , , , , ,Irrigation, , , , ,http://nrwrt1.nr.state.ut.us/daminfo/default.htm,2: Good,UNH,-110.386982,40.987986,SWBD
Bridgeport,1924,-99,-99,19,-99,274,-99,9.31,9.31,12.6,-99,-99,54.4,54.4,-99,-99,5.8000002,6814,25.2999992,1967,940,922, ,Main, , , , , , , , , ,Irrigation, , , , ,http://damsafety.water.ca.gov/,2: Good,UNH,-119.212814,38.325225,SWBD
Buffalo Bill,1909,-99,-99,107,-99,579,-99,25.66,25.66,33.7,-99,-99,746,746,-99,-99,29.1000004,7950,297.6000061,1705,3908,3895, ,Sec,Main,Sec, ,Sec, ,Sec, , , ,Hydroelectricity, , , , , ,2: Good,UNH,-109.186819,44.500233,SWBD
Bull Lake,1937,-99,-99,24,-99,582,-99,10.87,10.87,12.8,-99,-99,187.2,187.2,-99,-99,17.2000008,2094,283.5,1767,551,575, ,Main, , ,Sec,Sec, ,Sec, , , ,Irrigation, , , , , ,2: Good,UNH,-109.044413,43.209951,SWBD
Bumping Lake,1909,-99,-99,19,-99,582,-99,4.79,4.79,5.3,-99,-99,41.6,41.6,-99,-99,8.6999998,4847,27.2000008,1040,195,179, ,Main,Sec, ,Sec, , , , , , ,Irrigation, , , , , ,2: Good,UNH,-121.302083,46.86875,SWBD
Cle Elum,1932,-99,-99,50,-99,580,-99,16.67,16.67,19.5,-99,-99,539,539,-99,-99,32.2999992,18711,91.3000031,678,526,534, ,Main, , , , , , , , , ,Irrigation, , , , , ,2: Good,UNH,-121.072917,47.249008,SWBD
Costilla Dam,1920,-99,-99,43,-99,238,-99,1.32,1.32,2.3,-99,-99,19.5,19.5,19.4,-99,14.8000002,109,567.2999878,2868,141,142, ,Main, , , , , , , , , ,Irrigation, , , , ,http://www.seo.state.nm.us/doing-business/DamSafety/Dam-menu.html,2: Good,UNH,-105.278125,36.877279,SWBD
Gibson,1928,-99,-99,61,-99,580,-99,3.91,3.91,5.5,-99,-99,122.2,122.2,-99,-99,31.2999992,12921,30,1417,1429,1489, ,Main, , , , , , , , , ,Irrigation, , , , , ,2: Good,UNH,-112.762395,47.60042,SWBD
Isabella Dam,1953,-99,-99,56,-99,517,-99,23.79,23.79,45.3,-99,-99,700.6,700.6,-99,-99,29.3999996,31489,70.5999985,784,5338,5372, ,Sec,Sec, ,Main,Sec, , , , , ,Flood control, , , , , ,2: Good,UNH,-118.481266,35.648325,SWBD
Kachess,1911,1936,-99,35,8,580,579,16.94,16.94,18.6,-99,-99,302.2,302.2,294.8,-99,17.7999992,5965,160.6000061,686,164,166, ,Main, , , , , , , , , ,Irrigation, ,Yes, , , ,3: Fair,UNH,-121.205208,47.265956,SWBD
Keechelus,1916,-99,-99,39,-99,584,-99,9.2,9.2,12.8,-99,-99,194.9,194.9,-99,-99,21.2000008,5800,106.5999985,760,142,142, ,Main, , , , , , , , , ,Irrigation, , , , , ,2: Good,UNH,-121.340171,47.323654,SWBD
Little Wood River,1961,-99,-99,52,-99,582,-99,1.83,1.83,2.3,-99,-99,37,37,-99,-99,20.2000008,4133,28.3999996,1592,713,741, ,Main, , ,Sec, , , , , , ,Irrigation, , , , , ,2: Good,UNH,-114.028321,43.426524,SWBD
McKay,1926,-99,-99,50,-99,581,-99,2.53,2.53,4.9,-99,-99,83.6,83.6,-99,-99,33,2614,101.4000015,396,499,482, ,Main, , ,Sec,Sec, ,Sec, , , ,Irrigation, , , , , ,2: Good,UNH,-118.792708,45.605278,SWBD
Meeks Cabin,1970,-99,-99,56,-99,582,-99,1.44,1.44,1.9,-99,-99,36.4,36.4,-99,-99,25.2999992,987,116.9000015,2632,396,391, ,Main, , , , , , , , , ,Irrigation, , , , , ,2: Good,UNH,-110.582609,41.025296,SWBD
